material_diff,white_material,black_material,white_pawns,black_pawns,white_knights,black_knights,white_bishops,black_bishops,white_rooks,black_rooks,white_queens,black_queens,white_bishop_pair,black_bishop_pair,white_developed,black_developed,white_castled,black_castled,white_castled_on_move,black_castled_on_move,pawn_moves_white,pawn_moves_black,piece_moves_white,piece_moves_black,captures_white,captures_black,checks_white,checks_black,center_control_white,center_control_black,ext_center_white,ext_center_black,white_mobility,black_mobility,white_attacked_squares,black_attacked_squares,white_doubled_pawns,black_doubled_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_king_safety,black_king_safety,white_king_exposure,black_king_exposure,eco_category,result
3,17,14,4,5,0,0,1,0,2,0,0,1,0,0,3,4,1,1,10,20,9,8,16,17,9,8,2,2,0,3,6,13,27,37,26,36,0,0,0,0,0,0,2,2,1,0,3,1-0
5,15,10,5,2,0,1,0,0,2,1,0,0,0,0,4,4,1,1,24,17,8,10,17,15,11,8,2,1,3,3,9,7,32,21,31,23,0,0,3,0,3,0,2,2,0,1,2,1/2-1/2
-12,18,30,6,5,0,1,1,1,0,2,1,1,0,0,4,4,1,0,8,0,7,7,18,18,5,7,4,1,3,3,8,12,2,51,30,40,0,2,0,2,0,0,3,2,1,1,1,0-1
-3,13,16,5,3,1,0,0,1,1,2,0,0,0,0,4,4,1,0,11,0,4,10,21,15,9,8,4,0,3,1,9,5,32,19,26,24,0,0,2,3,1,0,3,1,1,3,3,1-0
-1,18,19,5,6,1,1,0,0,2,2,0,0,0,0,4,4,0,1,0,11,7,8,18,17,6,7,0,4,1,3,7,9,31,32,29,32,0,0,2,0,0,0,3,3,2,2,0,1-0
-3,22,25,3,6,0,0,0,0,2,2,1,1,0,0,4,4,1,1,11,10,10,6,15,19,6,9,2,1,2,3,9,13,36,52,35,43,0,0,1,0,0,3,2,3,3,2,1,0-1
-2,16,18,6,6,0,1,0,0,2,0,0,1,0,0,4,4,1,1,10,6,7,7,18,18,7,7,0,3,2,3,8,12,21,34,27,36,0,0,1,0,0,0,3,2,3,0,3,0-1
-4,11,15,6,5,0,0,0,0,1,2,0,0,0,0,4,4,0,1,0,14,12,7,13,18,8,8,0,2,2,3,10,8,19,20,27,24,2,0,0,3,0,0,3,2,4,0,0,0-1
0,20,20,7,4,0,1,1,1,2,2,0,0,0,0,3,4,1,0,8,0,7,6,18,19,7,5,4,2,3,2,10,9,23,46,29,36,0,0,0,2,1,0,2,2,1,2,2,1-0
3,26,23,4,4,0,0,1,0,2,2,1,1,0,0,4,4,1,1,10,15,5,4,20,21,8,7,0,4,2,3,9,9,46,21,41,24,0,0,4,1,1,0,2,3,0,0,2,1-0
3,22,19,5,5,0,0,1,0,1,1,1,1,0,0,4,4,1,1,16,14,8,7,17,18,8,7,3,3,2,2,10,10,43,29,39,28,0,0,0,1,0,0,3,3,1,6,2,1-0
10,27,17,5,3,0,0,1,0,2,1,1,1,0,0,4,4,1,1,12,11,5,6,20,19,10,6,3,1,3,2,15,8,48,34,47,33,2,0,3,1,0,0,3,2,0,2,2,1-0
-1,22,23,6,7,1,1,1,1,2,2,0,0,0,0,4,4,1,1,13,17,6,11,19,14,4,5,0,1,3,2,9,8,28,30,30,29,2,0,1,0,0,0,3,2,0,0,3,0-1
-10,15,25,5,6,0,2,0,1,2,2,0,0,0,0,4,4,1,1,14,11,8,9,17,16,4,8,2,2,2,3,7,11,20,38,22,40,0,0,0,0,0,0,3,2,0,2,2,0-1
-1,16,17,4,5,1,0,0,1,0,0,1,1,0,0,4,4,1,1,13,8,4,5,21,20,8,9,2,3,3,3,9,8,26,32,23,31,0,0,1,2,0,1,3,3,0,0,2,0-1
5,18,13,5,5,1,1,0,0,2,1,0,0,0,0,3,4,1,1,5,16,10,7,15,18,8,7,0,4,3,1,10,5,25,22,30,23,0,0,2,2,0,0,2,1,4,0,2,1-0
5,29,24,7,4,0,1,1,1,2,1,1,1,0,0,4,4,1,1,13,10,7,5,18,20,7,4,0,0,3,3,12,8,35,31,36,30,0,0,0,1,1,0,3,3,0,0,3,1-0
-8,21,29,4,7,1,1,0,0,1,2,1,1,0,0,4,4,1,1,8,11,7,5,18,20,4,8,2,1,3,2,12,10,38,36,31,33,0,0,0,0,0,2,2,4,0,2,2,0-1
-7,10,17,5,7,0,0,0,0,1,2,0,0,0,0,4,4,0,1,0,6,4,8,21,17,6,9,1,1,2,3,7,8,20,31,22,33,0,0,0,0,0,1,4,1,2,0,3,0-1
-12,10,22,2,5,0,0,1,1,1,1,0,1,0,0,4,3,0,1,0,8,8,4,17,21,7,11,1,10,1,1,5,9,20,34,22,32,0,0,2,0,0,0,1,3,3,0,1,0-1
0,8,8,5,5,1,0,0,1,0,0,0,0,0,0,4,4,1,0,9,0,5,7,20,18,9,9,0,2,2,3,6,6,17,20,17,18,0,0,0,2,0,0,3,2,0,0,2,1-0
1,16,15,8,7,0,0,1,1,1,1,0,0,0,0,4,4,1,1,9,7,5,8,20,17,6,5,0,0,3,3,11,10,24,28,27,31,2,0,0,0,0,0,4,2,1,0,3,1-0
3,28,25,6,6,1,0,0,0,2,2,1,1,0,0,4,4,1,1,20,22,6,9,19,16,6,5,1,0,3,3,9,8,38,29,32,29,0,2,1,4,0,0,3,1,0,0,2,1-0
0,32,32,7,7,0,2,2,0,2,2,1,1,1,0,4,4,1,1,8,11,8,7,17,18,3,3,0,0,4,3,15,10,37,46,38,39,0,0,1,0,0,0,4,4,1,1,3,1-0
-1,20,21,4,5,2,1,0,1,2,2,0,0,0,0,4,4,0,1,0,19,8,7,17,18,6,7,2,0,1,3,5,11,24,35,27,38,0,0,2,1,0,1,2,3,3,2,2,1-0
2,16,14,6,6,0,1,0,0,2,1,0,0,0,0,4,4,0,1,0,9,7,10,18,15,7,7,0,0,3,2,9,7,30,23,32,22,0,0,0,1,0,0,3,3,0,1,0,1-0
7,28,21,6,4,1,0,0,1,2,1,1,1,0,0,4,4,1,1,9,7,9,8,16,17,8,5,0,0,3,4,11,13,40,48,38,35,0,0,2,1,1,0,4,3,0,1,3,1-0
-1,31,32,6,7,1,0,1,2,2,2,1,1,0,1,3,4,1,0,9,0,2,12,23,13,3,4,1,0,3,4,9,13,34,40,33,39,0,2,0,1,0,0,3,1,1,0,2,1-0
-4,17,21,3,5,2,2,1,0,1,2,0,0,0,0,4,3,1,1,10,9,8,10,17,15,6,8,1,4,3,3,10,9,33,31,32,35,0,0,1,1,0,2,2,2,3,0,3,1/2-1/2
-1,20,21,6,7,0,0,0,0,1,1,1,1,0,0,4,4,1,1,13,7,9,7,16,18,6,7,1,1,3,3,8,11,26,35,29,35,2,0,3,0,0,1,2,2,0,0,2,0-1
2,23,21,5,4,1,1,2,0,0,1,1,1,1,0,4,4,1,1,9,7,8,9,17,16,8,6,1,1,4,2,14,11,45,33,45,34,0,0,1,1,2,1,3,3,3,1,0,1-0
